Size,Dirt Ratio,Performance
2x2,0.1,1.0
4x4,0.1,1.0
8x8,0.1,1.0
16x16,0.1,1.0
32x32,0.1,0.834951
64x64,0.1,0.229751
128x128,0.1,0.051121
2x2,0.2,1.0
4x4,0.2,1.0
8x8,0.2,1.0
16x16,0.2,1.0
32x32,0.2,0.736585
64x64,0.2,0.205562
128x128,0.2,0.050209
2x2,0.4,1.0
4x4,0.4,1.0
8x8,0.4,1.0
16x16,0.4,1.0
32x32,0.4,0.687805
64x64,0.4,0.17203
128x128,0.4,0.043995
2x2,0.8,1.0
4x4,0.8,1.0
8x8,0.8,1.0
16x16,0.8,1.0
32x32,0.8,0.513415
64x64,0.8,0.133049
128x128,0.8,0.033574
2x2,0.1,1.0
4x4,0.1,1.0
8x8,0.1,1.0
16x16,0.1,1.0
32x32,0.1,0.815534
64x64,0.1,0.249263
128x128,0.1,0.051121
2x2,0.2,1.0
4x4,0.2,1.0
8x8,0.2,1.0
16x16,0.2,1.0
32x32,0.2,0.804878
64x64,0.2,0.200683
128x128,0.2,0.049721
2x2,0.4,1.0
4x4,0.4,1.0
8x8,0.4,1.0
16x16,0.4,1.0
32x32,0.4,0.663415
64x64,0.4,0.173983
128x128,0.4,0.042897
2x2,0.8,1.0
4x4,0.8,1.0
8x8,0.8,1.0
16x16,0.8,1.0
32x32,0.8,0.52439
64x64,0.8,0.131218
128x128,0.8,0.033757
2x2,0.1,1.0
4x4,0.1,1.0
8x8,0.1,1.0
16x16,0.1,1.0
32x32,0.1,0.786408
64x64,0.1,0.214141
128x128,0.1,0.051121
2x2,0.2,1.0
4x4,0.2,1.0
8x8,0.2,1.0
16x16,0.2,1.0
32x32,0.2,0.707317
64x64,0.2,0.206537
128x128,0.2,0.050453
2x2,0.4,1.0
4x4,0.4,1.0
8x8,0.4,1.0
16x16,0.4,1.0
32x32,0.4,0.665854
64x64,0.4,0.171542
128x128,0.4,0.044362
2x2,0.8,1.0
4x4,0.8,1.0
8x8,0.8,1.0
16x16,0.8,1.0
32x32,0.8,0.515854
64x64,0.8,0.130912
128x128,0.8,0.031926
2x2,0.1,1.0
4x4,0.1,1.0
8x8,0.1,1.0
16x16,0.1,1.0
32x32,0.1,0.834951
64x64,0.1,0.206336
128x128,0.1,0.052586
2x2,0.2,1.0
4x4,0.2,1.0
8x8,0.2,1.0
16x16,0.2,1.0
32x32,0.2,0.795122
64x64,0.2,0.208488
128x128,0.2,0.050453
2x2,0.4,1.0
4x4,0.4,1.0
8x8,0.4,1.0
16x16,0.4,1.0
32x32,0.4,0.656098
64x64,0.4,0.162268
128x128,0.4,0.043629
2x2,0.8,1.0
4x4,0.8,1.0
8x8,0.8,1.0
16x16,0.8,1.0
32x32,0.8,0.531707
64x64,0.8,0.133049
128x128,0.8,0.033818
2x2,0.1,1.0
4x4,0.1,1.0
8x8,0.1,1.0
16x16,0.1,1.0
32x32,0.1,0.864078
64x64,0.1,0.233654
128x128,0.1,0.055514
2x2,0.2,1.0
4x4,0.2,1.0
8x8,0.2,1.0
16x16,0.2,1.0
32x32,0.2,0.756098
64x64,0.2,0.212391
128x128,0.2,0.050209
2x2,0.4,1.0
4x4,0.4,1.0
8x8,0.4,1.0
16x16,0.4,1.0
32x32,0.4,0.653659
64x64,0.4,0.173983
128x128,0.4,0.044362
2x2,0.8,1.0
4x4,0.8,1.0
8x8,0.8,1.0
16x16,0.8,1.0
32x32,0.8,0.52439
64x64,0.8,0.129081
128x128,0.8,0.034002
2x2,0.1,1.0
4x4,0.1,1.0
8x8,0.1,1.0
16x16,0.1,1.0
32x32,0.1,0.834951
64x64,0.1,0.219995
128x128,0.1,0.050633
2x2,0.2,1.0
4x4,0.2,1.0
8x8,0.2,1.0
16x16,0.2,1.0
32x32,0.2,0.819512
64x64,0.2,0.186049
128x128,0.2,0.045082
2x2,0.4,1.0
4x4,0.4,1.0
8x8,0.4,1.0
16x16,0.4,1.0
32x32,0.4,0.641463
64x64,0.4,0.171054
128x128,0.4,0.045826
2x2,0.8,1.0
4x4,0.8,1.0
8x8,0.8,1.0
16x16,0.8,1.0
32x32,0.8,0.523171
64x64,0.8,0.134269
128x128,0.8,0.033513
2x2,0.1,1.0
4x4,0.1,1.0
8x8,0.1,1.0
16x16,0.1,1.0
32x32,0.1,0.864078
64x64,0.1,0.214141
128x128,0.1,0.052586
2x2,0.2,1.0
4x4,0.2,1.0
8x8,0.2,1.0
16x16,0.2,1.0
32x32,0.2,0.75122
64x64,0.2,0.197757
128x128,0.2,0.048988
2x2,0.4,1.0
4x4,0.4,1.0
8x8,0.4,1.0
16x16,0.4,1.0
32x32,0.4,0.665854
64x64,0.4,0.173983
128x128,0.4,0.045094
2x2,0.8,1.0
4x4,0.8,1.0
8x8,0.8,1.0
16x16,0.8,1.0
32x32,0.8,0.528049
64x64,0.8,0.134879
128x128,0.8,0.033818
2x2,0.1,1.0
4x4,0.1,1.0
8x8,0.1,1.0
16x16,0.1,1.0
32x32,0.1,0.815534
64x64,0.1,0.210239
128x128,0.1,0.052098
2x2,0.2,1.0
4x4,0.2,1.0
8x8,0.2,1.0
16x16,0.2,1.0
32x32,0.2,0.785366
64x64,0.2,0.199708
128x128,0.2,0.051186
2x2,0.4,1.0
4x4,0.4,1.0
8x8,0.4,1.0
16x16,0.4,1.0
32x32,0.4,0.712195
64x64,0.4,0.176911
128x128,0.4,0.043995
2x2,0.8,1.0
4x4,0.8,1.0
8x8,0.8,1.0
16x16,0.8,1.0
32x32,0.8,0.519512
64x64,0.8,0.126335
128x128,0.8,0.034185
2x2,0.1,1.0
4x4,0.1,1.0
8x8,0.1,1.0
16x16,0.1,1.0
32x32,0.1,0.834951
64x64,0.1,0.218044
128x128,0.1,0.047217
2x2,0.2,1.0
4x4,0.2,1.0
8x8,0.2,1.0
16x16,0.2,1.0
32x32,0.2,0.77561
64x64,0.2,0.183123
128x128,0.2,0.053871
2x2,0.4,1.0
4x4,0.4,1.0
8x8,0.4,1.0
16x16,0.4,1.0
32x32,0.4,0.665854
64x64,0.4,0.171542
128x128,0.4,0.043751
2x2,0.8,1.0
4x4,0.8,1.0
8x8,0.8,1.0
16x16,0.8,1.0
32x32,0.8,0.531707
64x64,0.8,0.135185
128x128,0.8,0.03333
2x2,0.1,1.0
4x4,0.1,1.0
8x8,0.1,1.0
16x16,0.1,1.0
32x32,0.1,0.796117
64x64,0.1,0.208288
128x128,0.1,0.043312
2x2,0.2,1.0
4x4,0.2,1.0
8x8,0.2,1.0
16x16,0.2,1.0
32x32,0.2,0.717073
64x64,0.2,0.193854
128x128,0.2,0.04728
2x2,0.4,1.0
4x4,0.4,1.0
8x8,0.4,1.0
16x16,0.4,1.0
32x32,0.4,0.653659
64x64,0.4,0.169102
128x128,0.4,0.043141
2x2,0.8,1.0
4x4,0.8,1.0
8x8,0.8,1.0
16x16,0.8,1.0
32x32,0.8,0.518293
64x64,0.8,0.133964
128x128,0.8,0.033696
