Size,Dirt Ratio,Performance
2x2,0.1,1.0
4x4,0.1,1.0
8x8,0.1,1.0
16x16,0.1,0.538462
32x32,0.1,0.106796
64x64,0.1,0.0678
128x128,0.1,0.021835
2x2,0.2,1.0
4x4,0.2,1.0
8x8,0.2,0.923077
16x16,0.2,0.538462
32x32,0.2,0.170732
64x64,0.2,0.071903
128x128,0.2,0.016764
2x2,0.4,1.0
4x4,0.4,1.0
8x8,0.4,0.961538
16x16,0.4,0.572816
32x32,0.4,0.119512
64x64,0.4,0.075386
128x128,0.4,0.016287
2x2,0.8,1.0
4x4,0.8,1.0
8x8,0.8,0.942308
16x16,0.8,0.434146
32x32,0.8,0.136585
64x64,0.8,0.03906
128x128,0.8,0.013129
2x2,0.1,1.0
4x4,0.1,1.0
8x8,0.1,1.0
16x16,0.1,0.346154
32x32,0.1,0.15534
64x64,0.1,0.0678
128x128,0.1,0.018418
2x2,0.2,1.0
4x4,0.2,1.0
8x8,0.2,0.923077
16x16,0.2,0.480769
32x32,0.2,0.156098
64x64,0.2,0.08361
128x128,0.2,0.018717
2x2,0.4,1.0
4x4,0.4,1.0
8x8,0.4,0.846154
16x16,0.4,0.563107
32x32,0.4,0.153659
64x64,0.4,0.068065
128x128,0.4,0.017019
2x2,0.8,1.0
4x4,0.8,1.0
8x8,0.8,0.980769
16x16,0.8,0.546341
32x32,0.8,0.153659
64x64,0.8,0.038755
128x128,0.8,0.013068
2x2,0.1,1.0
4x4,0.1,1.0
8x8,0.1,1.0
16x16,0.1,0.538462
32x32,0.1,0.15534
64x64,0.1,0.099019
128x128,0.1,0.021835
2x2,0.2,1.0
4x4,0.2,1.0
8x8,0.2,0.769231
16x16,0.2,0.692308
32x32,0.2,0.170732
64x64,0.2,0.058244
128x128,0.2,0.019937
2x2,0.4,1.0
4x4,0.4,1.0
8x8,0.4,0.961538
16x16,0.4,0.427184
32x32,0.4,0.126829
64x64,0.4,0.060255
128x128,0.4,0.016653
2x2,0.8,1.0
4x4,0.8,1.0
8x8,0.8,0.903846
16x16,0.8,0.609756
32x32,0.8,0.153659
64x64,0.8,0.043943
128x128,0.8,0.014471
2x2,0.1,1.0
4x4,0.1,1.0
8x8,0.1,1.0
16x16,0.1,0.5
32x32,0.1,0.126214
64x64,0.1,0.089263
128x128,0.1,0.020859
2x2,0.2,1.0
4x4,0.2,1.0
8x8,0.2,1.0
16x16,0.2,0.519231
32x32,0.2,0.156098
64x64,0.2,0.072879
128x128,0.2,0.016031
2x2,0.4,1.0
4x4,0.4,1.0
8x8,0.4,0.923077
16x16,0.4,0.368932
32x32,0.4,0.168293
64x64,0.4,0.06416
128x128,0.4,0.015433
2x2,0.8,1.0
4x4,0.8,1.0
8x8,0.8,1.0
16x16,0.8,0.473171
32x32,0.8,0.156098
64x64,0.8,0.045468
128x128,0.8,0.015204
2x2,0.1,1.0
4x4,0.1,1.0
8x8,0.1,0.857143
16x16,0.1,0.307692
32x32,0.1,0.106796
64x64,0.1,0.075605
128x128,0.1,0.016954
2x2,0.2,1.0
4x4,0.2,1.0
8x8,0.2,0.846154
16x16,0.2,0.442308
32x32,0.2,0.097561
64x64,0.2,0.077757
128x128,0.2,0.017496
2x2,0.4,1.0
4x4,0.4,1.0
8x8,0.4,0.961538
16x16,0.4,0.543689
32x32,0.4,0.15122
64x64,0.4,0.061719
128x128,0.4,0.019217
2x2,0.8,1.0
4x4,0.8,1.0
8x8,0.8,0.980769
16x16,0.8,0.419512
32x32,0.8,0.142683
64x64,0.8,0.036619
128x128,0.8,0.014838
2x2,0.1,1.0
4x4,0.1,1.0
8x8,0.1,1.0
16x16,0.1,0.538462
32x32,0.1,0.126214
64x64,0.1,0.0678
128x128,0.1,0.021347
2x2,0.2,1.0
4x4,0.2,1.0
8x8,0.2,0.923077
16x16,0.2,0.442308
32x32,0.2,0.097561
64x64,0.2,0.068976
128x128,0.2,0.01652
2x2,0.4,1.0
4x4,0.4,1.0
8x8,0.4,0.923077
16x16,0.4,0.475728
32x32,0.4,0.165854
64x64,0.4,0.0666
128x128,0.4,0.016653
2x2,0.8,1.0
4x4,0.8,1.0
8x8,0.8,0.807692
16x16,0.8,0.478049
32x32,0.8,0.156098
64x64,0.8,0.036314
128x128,0.8,0.015204
2x2,0.1,1.0
4x4,0.1,1.0
8x8,0.1,1.0
16x16,0.1,0.538462
32x32,0.1,0.145631
64x64,0.1,0.063897
128x128,0.1,0.020371
2x2,0.2,1.0
4x4,0.2,1.0
8x8,0.2,0.846154
16x16,0.2,0.480769
32x32,0.2,0.180488
64x64,0.2,0.075805
128x128,0.2,0.020426
2x2,0.4,1.0
4x4,0.4,1.0
8x8,0.4,1.0
16x16,0.4,0.553398
32x32,0.4,0.1
64x64,0.4,0.062207
128x128,0.4,0.015921
2x2,0.8,1.0
4x4,0.8,1.0
8x8,0.8,0.980769
16x16,0.8,0.478049
32x32,0.8,0.130488
64x64,0.8,0.034788
128x128,0.8,0.014288
2x2,0.1,1.0
4x4,0.1,1.0
8x8,0.1,0.857143
16x16,0.1,0.461538
32x32,0.1,0.194175
64x64,0.1,0.071702
128x128,0.1,0.021835
2x2,0.2,1.0
4x4,0.2,1.0
8x8,0.2,0.923077
16x16,0.2,0.423077
32x32,0.2,0.102439
64x64,0.2,0.079708
128x128,0.2,0.019693
2x2,0.4,1.0
4x4,0.4,1.0
8x8,0.4,0.884615
16x16,0.4,0.398058
32x32,0.4,0.187805
64x64,0.4,0.067088
128x128,0.4,0.017141
2x2,0.8,1.0
4x4,0.8,1.0
8x8,0.8,0.942308
16x16,0.8,0.365854
32x32,0.8,0.169512
64x64,0.8,0.034483
128x128,0.8,0.015082
2x2,0.1,1.0
4x4,0.1,1.0
8x8,0.1,0.857143
16x16,0.1,0.461538
32x32,0.1,0.07767
64x64,0.1,0.0678
128x128,0.1,0.019883
2x2,0.2,1.0
4x4,0.2,1.0
8x8,0.2,0.923077
16x16,0.2,0.384615
32x32,0.2,0.160976
64x64,0.2,0.069952
128x128,0.2,0.018717
2x2,0.4,1.0
4x4,0.4,1.0
8x8,0.4,0.923077
16x16,0.4,0.485437
32x32,0.4,0.090244
64x64,0.4,0.061719
128x128,0.4,0.015311
2x2,0.8,1.0
4x4,0.8,1.0
8x8,0.8,0.942308
16x16,0.8,0.473171
32x32,0.8,0.12561
64x64,0.8,0.047299
128x128,0.8,0.013739
2x2,0.1,1.0
4x4,0.1,1.0
8x8,0.1,1.0
16x16,0.1,0.423077
32x32,0.1,0.087379
64x64,0.1,0.075605
128x128,0.1,0.019395
2x2,0.2,1.0
4x4,0.2,1.0
8x8,0.2,0.769231
16x16,0.2,0.423077
32x32,0.2,0.160976
64x64,0.2,0.075805
128x128,0.2,0.018961
2x2,0.4,1.0
4x4,0.4,1.0
8x8,0.4,0.961538
16x16,0.4,0.563107
32x32,0.4,0.090244
64x64,0.4,0.068553
128x128,0.4,0.017874
2x2,0.8,1.0
4x4,0.8,1.0
8x8,0.8,0.903846
16x16,0.8,0.443902
32x32,0.8,0.121951
64x64,0.8,0.037534
128x128,0.8,0.016363
