Search_Strategy,Explored_Nodes
bfs,7078
ucs,7078
dfs,2223
dls,2223
bfs,259
ucs,259
dfs,8727
dls,5000
bfs,3399
ucs,3399
dfs,291
dls,291
bfs,7293
ucs,7293
dfs,760
dls,760
bfs,1591
ucs,1591
dfs,692
dls,692
bfs,8651
ucs,8651
dfs,3673
dls,3673
bfs,2933
ucs,2933
dfs,171
dls,171
bfs,4418
ucs,4418
dfs,3721
dls,3721
bfs,699
ucs,699
dfs,2113
dls,2113
bfs,8195
ucs,8195
dfs,4542
dls,4542
bfs,7059
ucs,7059
dfs,5684
dls,5000
bfs,4313
ucs,4313
dfs,3680
dls,3680
bfs,1170
ucs,1170
dfs,1555
dls,1555
bfs,1922
ucs,1922
dfs,749
dls,749
bfs,4619
ucs,4619
dfs,1534
dls,1534
bfs,6847
ucs,6847
dfs,4621
dls,4621
bfs,3997
ucs,3997
dfs,1907
dls,1907
bfs,235
ucs,235
dfs,7378
dls,5000
bfs,7187
ucs,7187
dfs,2444
dls,2444
bfs,5702
ucs,5702
dfs,5007
dls,5000
bfs,7716
ucs,7716
dfs,3704
dls,3704
bfs,3902
ucs,3902
dfs,1531
dls,1531
bfs,1852
ucs,1852
dfs,2233
dls,2233
bfs,673
ucs,673
dfs,5314
dls,5000
bfs,869
ucs,869
dfs,2952
dls,2952
bfs,3224
ucs,3224
dfs,6357
dls,5000
bfs,7126
ucs,7126
dfs,1367
dls,1367
bfs,5992
ucs,5992
dfs,701
dls,701
bfs,8715
ucs,8715
dfs,3189
dls,3189
bfs,7199
ucs,7199
dfs,5117
dls,5000
