Algorithm,Queens_Size,Time,States
backtracking,4,0.0009698867797851562,26
forward checking,4,0.0,8
backtracking,8,0.0010242462158203125,876
forward checking,8,0.003990650177001953,113
backtracking,10,0.0009965896606445312,975
forward checking,10,0.004957914352416992,102
backtracking,12,0.003989219665527344,3066
forward checking,12,0.013991117477416992,261
backtracking,15,0.025903940200805664,20280
forward checking,15,0.07735466957092285,1359
backtracking,4,0.0,26
forward checking,4,0.0,8
backtracking,8,0.0009975433349609375,876
forward checking,8,0.004018068313598633,113
backtracking,10,0.0009968280792236328,975
forward checking,10,0.004017829895019531,102
backtracking,12,0.003991127014160156,3066
forward checking,12,0.011937618255615234,261
backtracking,15,0.0249330997467041,20280
forward checking,15,0.0748589038848877,1359
backtracking,4,0.0,26
forward checking,4,0.0,8
backtracking,8,0.0009975433349609375,876
forward checking,8,0.003961086273193359,113
backtracking,10,0.000997304916381836,975
forward checking,10,0.0049877166748046875,102
backtracking,12,0.00299072265625,3066
forward checking,12,0.011968135833740234,261
backtracking,15,0.02496170997619629,20280
forward checking,15,0.07876205444335938,1359
backtracking,4,0.0,26
forward checking,4,0.0,8
backtracking,8,0.0009963512420654297,876
forward checking,8,0.004017353057861328,113
backtracking,10,0.0009970664978027344,975
forward checking,10,0.003962039947509766,102
backtracking,12,0.0040171146392822266,3066
forward checking,12,0.012936830520629883,261
backtracking,15,0.0249636173248291,20280
forward checking,15,0.07476949691772461,1359
backtracking,4,0.0,26
forward checking,4,0.0,8
backtracking,8,0.0010256767272949219,876
forward checking,8,0.003961801528930664,113
backtracking,10,0.0019941329956054688,975
forward checking,10,0.003988981246948242,102
backtracking,12,0.002991914749145508,3066
forward checking,12,0.012965679168701172,261
backtracking,15,0.026927471160888672,20280
forward checking,15,0.07729911804199219,1359
backtracking,4,0.0,26
forward checking,4,0.0,8
backtracking,8,0.000997781753540039,876
forward checking,8,0.003988981246948242,113
backtracking,10,0.000997304916381836,975
forward checking,10,0.0059850215911865234,102
backtracking,12,0.002991199493408203,3066
forward checking,12,0.012964963912963867,261
backtracking,15,0.02593088150024414,20280
forward checking,15,0.07682275772094727,1359
backtracking,4,0.0009729862213134766,26
forward checking,4,0.0,8
backtracking,8,0.001024007797241211,876
forward checking,8,0.002989530563354492,113
backtracking,10,0.0009970664978027344,975
forward checking,10,0.004960060119628906,102
backtracking,12,0.003987789154052734,3066
forward checking,12,0.011969804763793945,261
backtracking,15,0.025954723358154297,20280
forward checking,15,0.07577157020568848,1359
backtracking,4,0.0,26
forward checking,4,0.0,8
backtracking,8,0.000997304916381836,876
forward checking,8,0.003989219665527344,113
backtracking,10,0.0009970664978027344,975
forward checking,10,0.003989458084106445,102
backtracking,12,0.0029931068420410156,3066
forward checking,12,0.01197504997253418,261
backtracking,15,0.025922060012817383,20280
forward checking,15,0.07383203506469727,1359
backtracking,4,0.0,26
forward checking,4,0.0009965896606445312,8
backtracking,8,0.0,876
forward checking,8,0.004960060119628906,113
backtracking,10,0.0010223388671875,975
forward checking,10,0.003962516784667969,102
backtracking,12,0.0029916763305664062,3066
forward checking,12,0.012966394424438477,261
backtracking,15,0.023963451385498047,20280
forward checking,15,0.07579636573791504,1359
backtracking,4,0.0,26
forward checking,4,0.0,8
backtracking,8,0.0009989738464355469,876
forward checking,8,0.0039882659912109375,113
backtracking,10,0.000997781753540039,975
forward checking,10,0.003993034362792969,102
